site_no,dec_lat_va,dec_long_va,qw_begin_date,qw_end_date
1464523,40.19194444,-74.66527778,7/13/2009,9/9/2010
146452360,40.18194444,-74.7047222,6/15/2011,6/15/2011
4.01E+14,40.1483333,-74.7225,,
4.01E+14,40.1483333,-74.7225,9/13/2010,9/13/2010
4.02E+14,40.29194444,-74.70638889,,
4.02E+14,40.29194444,-74.70638889,,
4.02E+14,40.34638889,-74.5961111,,
4.02E+14,40.34666667,-74.5983333,,
4.02E+14,40.34888889,-74.5961111,,
4.02E+14,40.34888889,-74.5966667,,
4.02E+14,40.34944444,-74.5961111,,
4.02E+14,40.35027778,-74.59638889,,
4.02E+14,40.35166667,-74.5969444,,
4.03E+14,40.5083333,-74.4583333,,
